Evaluating: 2 1 2 1 1 4 2 0 3 
MWFT(norm) MWFT LB
42.6134 1119.79 26.2778
42.6134 1119.79 26.2778
36.1451 949.815 26.2778
36.0582 947.53 26.2778
42.6528 1090.69 25.5714
42.6528 1090.69 25.5714
42.0681 1075.74 25.5714
32.874 840.634 25.5714
41.3399 1085.01 26.246
41.3399 1085.01 26.246
37.1973 976.281 26.246
36.4888 957.685 26.246
39.5094 994.721 25.1768
39.5094 994.721 25.1768
37.8046 951.799 25.1768
34.7556 875.036 25.1768
40.5805 1041.31 25.6603
40.5805 1041.31 25.6603
35.7099 916.326 25.6603
34.6886 890.118 25.6603
38.9713 1015.86 26.067
38.9713 1015.86 26.067
40.6778 1060.35 26.067
34.6625 903.547 26.067
40.4035 1037.8 25.686
40.4035 1037.8 25.686
37.8292 971.682 25.686
36.6154 940.503 25.686
41.348 1058.76 25.606
41.348 1058.76 25.606
39.9685 1023.43 25.606
35.5013 909.045 25.606
44.3288 1121 25.2883
44.3288 1121 25.2883
35.9144 908.215 25.2883
39.7033 1004.03 25.2883
45.1714 1094.38 24.2273
45.1714 1094.38 24.2273
37.002 896.457 24.2273
36.6195 887.191 24.2273
40.3638 1081.79 26.8011
40.3638 1081.79 26.8011
39.2328 1051.48 26.8011
36.8068 986.461 26.8011
39.5258 1000.24 25.3061
39.5258 1000.24 25.3061
40.9908 1037.32 25.3061
35.7423 904.496 25.3061
41.6068 1034.27 24.8583
41.6068 1034.27 24.8583
47.4458 1179.42 24.8583
36.9605 918.774 24.8583
40.4265 1006.3 24.892
40.4265 1006.3 24.892
37.232 926.778 24.892
34.9126 869.043 24.892
Evaluating: 0 1 2 1 1 4 2 0 4 
MWFT(norm) MWFT LB
30.4056 766.424 25.2067
30.4056 766.424 25.2067
35.3362 890.709 25.2067
28.5342 719.252 25.2067
29.541 750.91 25.4193
29.541 750.91 25.4193
38.5152 979.029 25.4193
29.2001 742.244 25.4193
31.1119 782.868 25.163
31.1119 782.868 25.163
35.6394 896.792 25.163
29.9908 754.657 25.163
31.3203 753.161 24.0471
31.3203 753.161 24.0471
34.4392 828.161 24.0471
28.2613 679.602 24.0471
30.1146 740.922 24.6034
30.1146 740.922 24.6034
35.3174 868.928 24.6034
27.9784 688.364 24.6034
29.8471 795.047 26.6374
29.8471 795.047 26.6374
33.6081 895.23 26.6374
27.3114 727.503 26.6374
29.1565 770.138 26.4139
29.1565 770.138 26.4139
31.8829 842.152 26.4139
27.5427 727.51 26.4139
29.591 766.94 25.918
29.591 766.94 25.918
36.631 949.401 25.918
27.7748 719.867 25.918
30.064 761.627 25.3335
30.064 761.627 25.3335
32.0997 813.199 25.3335
28.2773 716.365 25.3335
30.5554 804.32 26.3233
30.5554 804.32 26.3233
32.2596 849.181 26.3233
27.6147 726.911 26.3233
31.4878 811.146 25.7606
31.4878 811.146 25.7606
38.6569 995.826 25.7606
30.0834 774.967 25.7606
30.064 791.281 26.3199
30.064 791.281 26.3199
30.9158 813.702 26.3199
28.0948 739.453 26.3199
30.5829 780.837 25.5318
30.5829 780.837 25.5318
40.9493 1045.51 25.5318
29.2522 746.86 25.5318
29.589 771.753 26.0824
29.589 771.753 26.0824
33.8722 883.469 26.0824
28.6441 747.107 26.0824
29.2689 765.792 26.164
29.2689 765.792 26.164
33.7897 884.074 26.164
26.8931 703.632 26.164
30.1042 760.878 25.2748
30.1042 760.878 25.2748
34.6808 876.55 25.2748
28.2613 714.3 25.2748
29.5846 768.357 25.9716
29.5846 768.357 25.9716
34.8054 903.951 25.9716
27.9906 726.96 25.9716
31.4109 767.927 24.4478
31.4109 767.927 24.4478
36.4593 891.348 24.4478
28.5367 697.658 24.4478
32.0249 819.705 25.5958
32.0249 819.705 25.5958
42.6163 1090.8 25.5958
28.1919 721.595 25.5958
30.942 810.382 26.1904
30.942 810.382 26.1904
32.8795 861.127 26.1904
30.6869 803.702 26.1904
30.3732 756.498 24.9067
30.3732 756.498 24.9067
32.4272 807.656 24.9067
27.9941 697.243 24.9067
30.5124 796.668 26.1096
30.5124 796.668 26.1096
37.3025 973.955 26.1096
26.9983 704.915 26.1096
29.7942 817.886 27.4512
29.7942 817.886 27.4512
32.9232 903.781 27.4512
27.3112 749.724 27.4512
30.4389 771.385 25.3421
30.4389 771.385 25.3421
37.9992 962.979 25.3421
28.8024 729.912 25.3421
29.8877 774.318 25.9076
29.8877 774.318 25.9076
37.9369 982.854 25.9076
28.0655 727.109 25.9076
31.7094 814.708 25.6929
31.7094 814.708 25.6929
31.5553 810.747 25.6929
32.823 843.318 25.6929
30.2894 754.739 24.9176
30.2894 754.739 24.9176
33.1875 826.952 24.9176
28.8484 718.832 24.9176
30.0691 785.667 26.1287
30.0691 785.667 26.1287
36.6686 958.104 26.1287
29.367 767.323 26.1287
30.6895 802.065 26.1349
30.6895 802.065 26.1349
36.5641 955.598 26.1349
27.8917 728.945 26.1349
30.8336 784.665 25.4484
30.8336 784.665 25.4484
32.9527 838.594 25.4484
29.5239 751.337 25.4484
30.3902 791.689 26.0508
30.3902 791.689 26.0508
33.9328 883.977 26.0508
30.1761 786.114 26.0508
30.1354 790.612 26.2353
30.1354 790.612 26.2353
35.0891 920.573 26.2353
27.7385 727.728 26.2353
30.5441 788.204 25.8055
30.5441 788.204 25.8055
30.752 793.57 25.8055
28.0796 724.607 25.8055
31.3833 794.33 25.3106
31.3833 794.33 25.3106
38.6791 978.99 25.3106
28.1847 713.372 25.3106
30.2848 767.91 25.3563
30.2848 767.91 25.3563
34.9288 885.664 25.3563
27.9569 708.884 25.3563
28.876 732.54 25.3685
28.876 732.54 25.3685
38.5616 978.249 25.3685
27.9839 709.909 25.3685
29.7596 773.063 25.9769
29.7596 773.063 25.9769
30.8039 800.191 25.9769
27.2077 706.772 25.9769
30.6259 757.294 24.7273
30.6259 757.294 24.7273
37.7247 932.827 24.7273
29.9402 740.339 24.7273
30.231 788.777 26.0917
30.231 788.777 26.0917
